//-------------UI Loca	//
UI_VignetteVelocity				Effetto velocità angolare
UI_VignetteAcceleration				Effetto di accelerazione lineare
UI_OtherSettings				Altre impostazioni
UI_ShowController				Mostra controller
UI_ShowControllerInfo				Mostra informazioni sul controller
UI_ControllerFeedback				Vibrazione del controller
UI_Acceleration					Velocità di accelerazione
UI_Rotation					Velocità di rotazione
UI_TutorialQuick				Tutorial Selezione rapida
UI_TutorialRotationLesson			Inizia la lezione di rotazione
UI_TutorialMoveLesson				Inizia la lezione di movimento
UI_TutorialTeleportLesson			Inizia la lezione di teletrasporto
UI_TutorialFreeExploration			Inizia l'esplorazione libera
Tut_TextInput					Punta e seleziona questo testo per iniziare a digitare...\n\nPer digitare, tieni premuto il dito indice e tocca i tasti della tastiera con i punti visualizzati sul controller.
Tut_Typing					Digitazione del testo
Tut_360						Sfere a 360°
Tut_360Info					Nelle sfere a 360°, puoi navigare premendo i pulsanti dell'interfaccia utente
Tut_WhiteboardHeader				Lavagna
Tut_3DDrawHeader				Disegno 3D
Tut_WhiteboardHint				Per scrivere sulla lavagna, prendi l'apposita penna per lavagna, punta la punta verso la lavagna e toccala con essa.
Tut_3DDrawHint					Prendi la penna 3D con la mano destra e premi il grilletto per iniziare a disegnare in 3D. Usa la gomma per rimuovere le linee.
Keyboard_EnterText				Inserire il testo...
UI_AudioFeedback				Feedback audio dell'interfaccia utente
//-------------WZL Scene Loca
Activate360					Attiva le sfere a 360°
Deactivate360					Disattiva le sfere a 360°
WZLPanelTitle					Unità mobile di protezione dalle inondazioni
WZLPanelDescription				Un sistema mobile di barriera di protezione dalle inondazioni per fermare e sbarrare rapidamente corsi d'acqua, straripamenti e per sollevare l'argine nella protezione dalle inondazioni come struttura temporanea. Il sistema è dotato di accumulatori d'acqua riempibili d'acqua collegati tra loro e strutture di supporto.
WZLPanelTime					Tempo trascorso:
WZLPanelStartTutorial				Inizia l'esercitazione
WZLPanelResetTutorial				Ripristina tutorial
WZLPanelTestFlood				Alluvione di prova!
WZLManualTitle					Manuale di istruzioni dell'unità di inondazione mobile
WZLManualGoodLuck				Prova alluvione e buona fortuna!
WZLManuelStep1					PASSO 1:\nScopri le fondamenta:\nSvita i tappi sul pavimento
WZLManuelStep2					PASSO 2:\nPosiziona correttamente i pilastri sopra le fondamenta
WZLManuelStep3					PASSO 3:\nFissa i pilastri con le viti alle fondamenta
WZLManuelStep4					PASSO 4:\nLubrificare l'interno dei pilastri con la bomboletta spray
WZLManuelStep5					PASSO 5:\nPosizionare i ceppi di sigillatura: prima il ceppo inferiore con la parte in gomma
WZLManuelStep6					PASSO 6:\nAvvitare il\morsetto di serraggio\non in cima al tronco superiore
WZLDrillInfo					Puntare sopra le viti per iniziare ad avvitare
WZLSprayInfo					Puntare l'ugello verso la gomma della colonna per lubrificare
WZLScrewIn					Avvitare bene
WZLLubricateHint				Si prega di lubrificare la colonna
WZLScrewOut					Rimuovilo
WZLProtectionWallInfo1 				Rimuovere 4 tappi con un cacciavite automatizzato\nsu ciascuna delle parti evidenziate
WZLProtectionWallInfo2 				Inserisci qui il supporto centrale
WZLProtectionWallInfo3 				Fissare 4 viti su ciascuna delle parti evidenziate
WZLProtectionWallInfo4				Allega il registro delle fermate\n(La barra con la barra nera in basso)
WZLProtectionWallInfo5				Allega log di stop aggiuntivi\nfino a quando non raggiunge questo livello
//-------------RWTH Scene Loca
RWTH_BoothCurrentUser				Current user is having a look at a website.\nIf you would like to see it, please ask;
RWTH_BoothNoUser				No one is viewing anything.\nFeel free to step in.
RWTH_BoothFaculty				Faculty
RWTH_BoothFacultyInfo				Faculty Info
RWTH_BoothResearchTab				Research
RWTH_BoothTeachingTab				Teaching
RWTH_BoothHint1					Click the research or teaching tab to see the related media content
RWTH_BoothHint2					Click the arrows (or swipe) to switch between different media content in a tab
RWTH_BoothHint3					Click on the media icon to play a video, show an image or open a website
RWTH_BoothHint4					Here you can see who is currently in control of the media panel
RWTH_BoothHint5					Click on the timeline to change the current video time. It will be synchonized to other viewers  as well
RWTH_BoothHint6					In this section you can see the currently played media (video, image or website)
RWTH_Appointment				Appointments Schedule
RWTH_ClickExit					Click to exit
RWTH_RoomAvailable				Room available from:
RWTH_360Area					360° Videos Area
RWTH_360Button1					phyphox\n\nphysical phone experiments
RWTH_360Button2					RWTH Main Building
